station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
BEYLIKDUZU SONDURAK,22.0,12.0,10.0,9.0,13.0,142.0,813.0,1110.0,890.0,718.0,519.0,572.0,749.0,624.0,581.0,629.0,824.0,887.0,830.0,474.0,236.0,150.0,107.0,56.0
BOGAZ KOPRUSU,10.0,8.0,2.0,2.0,2.0,18.0,116.0,251.0,266.0,152.0,78.0,76.0,82.0,73.0,81.0,131.0,130.0,181.0,141.0,86.0,55.0,43.0,37.0,28.0
BURHANIYE,1.0,1.0,0.0,0.0,0.0,2.0,8.0,32.0,42.0,18.0,15.0,9.0,10.0,11.0,9.0,9.0,13.0,47.0,33.0,8.0,6.0,5.0,3.0,1.0
CAGLAYAN,19.0,10.0,6.0,4.0,2.0,12.0,90.0,328.0,411.0,235.0,219.0,270.0,288.0,285.0,276.0,329.0,564.0,703.0,722.0,553.0,212.0,106.0,72.0,43.0
CENNET MAHALLESI,31.0,11.0,6.0,4.0,6.0,27.0,126.0,398.0,456.0,230.0,167.0,160.0,176.0,182.0,167.0,178.0,212.0,255.0,264.0,201.0,131.0,103.0,87.0,55.0
CEVIZLIBAG,168.0,59.0,30.0,17.0,17.0,29.0,153.0,562.0,712.0,440.0,403.0,541.0,767.0,782.0,914.0,1220.0,1512.0,1723.0,1813.0,1337.0,819.0,420.0,331.0,233.0
CIHANGIR UNIVERSITE MAH.,21.0,8.0,4.0,3.0,8.0,48.0,241.0,654.0,629.0,351.0,269.0,331.0,392.0,368.0,330.0,318.0,360.0,391.0,418.0,282.0,187.0,148.0,135.0,58.0
CUMHURIYET MAHALLESI,31.0,16.0,8.0,4.0,8.0,42.0,262.0,541.0,492.0,351.0,240.0,242.0,243.0,232.0,210.0,203.0,244.0,325.0,364.0,260.0,151.0,105.0,87.0,53.0
DARULACEZE PERPA,19.0,8.0,7.0,3.0,4.0,20.0,127.0,440.0,469.0,243.0,177.0,174.0,196.0,188.0,209.0,260.0,337.0,613.0,763.0,305.0,132.0,92.0,72.0,39.0
EDIRNEKAPI,45.0,20.0,7.0,5.0,4.0,38.0,370.0,1114.0,1379.0,757.0,438.0,395.0,432.0,422.0,411.0,401.0,485.0,668.0,715.0,550.0,298.0,202.0,162.0,93.0
FIKIRTEPE,10.0,5.0,3.0,3.0,2.0,12.0,75.0,269.0,307.0,159.0,103.0,105.0,105.0,101.0,99.0,118.0,146.0,221.0,227.0,122.0,72.0,52.0,39.0,25.0
FLORYA,21.0,10.0,4.0,3.0,4.0,18.0,106.0,276.0,261.0,131.0,94.0,97.0,106.0,116.0,107.0,145.0,192.0,233.0,211.0,146.0,100.0,61.0,59.0,46.0
GUZELYURT,17.0,8.0,4.0,3.0,7.0,76.0,236.0,477.0,353.0,203.0,155.0,150.0,135.0,138.0,128.0,135.0,127.0,170.0,200.0,100.0,80.0,58.0,48.0,29.0
HALICIOGLU,16.0,9.0,6.0,3.0,2.0,20.0,118.0,452.0,510.0,229.0,148.0,169.0,245.0,235.0,258.0,296.0,399.0,456.0,329.0,191.0,109.0,66.0,48.0,35.0
HARAMIDERE,22.0,12.0,6.0,6.0,11.0,76.0,496.0,967.0,823.0,447.0,318.0,291.0,305.0,296.0,264.0,224.0,250.0,326.0,391.0,249.0,158.0,117.0,85.0,40.0
HARAMIDERE SANAYI SITESI,20.0,9.0,5.0,4.0,6.0,27.0,198.0,522.0,476.0,277.0,192.0,209.0,225.0,249.0,228.0,259.0,317.0,454.0,657.0,349.0,202.0,147.0,159.0,48.0
IBB SOSYAL TESISLER,18.0,11.0,5.0,3.0,4.0,20.0,110.0,329.0,321.0,162.0,113.0,113.0,118.0,120.0,119.0,178.0,124.0,133.0,142.0,120.0,84.0,75.0,64.0,47.0
INCIRLI,65.0,26.0,12.0,6.0,6.0,27.0,153.0,617.0,825.0,482.0,344.0,330.0,359.0,358.0,359.0,400.0,534.0,684.0,688.0,500.0,312.0,235.0,187.0,129.0
KUCUKCEKMECE,69.0,13.0,4.0,2.0,2.0,15.0,76.0,274.0,344.0,212.0,147.0,148.0,168.0,176.0,178.0,211.0,300.0,373.0,470.0,486.0,292.0,215.0,206.0,154.0
MECIDIYEKOY,282.0,89.0,42.0,28.0,27.0,58.0,309.0,950.0,1213.0,722.0,540.0,604.0,811.0,842.0,919.0,1228.0,1753.0,2224.0,2568.0,1830.0,1143.0,908.0,826.0,554.0
MERTER,32.0,13.0,11.0,4.0,3.0,12.0,92.0,305.0,397.0,201.0,135.0,132.0,162.0,173.0,169.0,233.0,302.0,443.0,554.0,422.0,221.0,148.0,131.0,79.0
MUSTAFA KEMAL PASA,20.0,10.0,5.0,3.0,9.0,66.0,295.0,758.0,678.0,354.0,310.0,486.0,600.0,489.0,472.0,500.0,700.0,712.0,516.0,305.0,175.0,141.0,89.0,50.0
OKMEYDANI,15.0,9.0,5.0,3.0,6.0,30.0,153.0,503.0,584.0,243.0,139.0,132.0,155.0,158.0,150.0,140.0,168.0,248.0,275.0,292.0,168.0,88.0,66.0,33.0
OKMEYDANI HASTANE,14.0,8.0,4.0,3.0,4.0,11.0,58.0,227.0,264.0,201.0,185.0,189.0,147.0,147.0,207.0,251.0,335.0,229.0,309.0,235.0,98.0,65.0,48.0,28.0
SAADETDERE MAHALLESI,14.0,5.0,2.0,3.0,7.0,49.0,267.0,580.0,460.0,233.0,166.0,187.0,196.0,183.0,158.0,160.0,168.0,203.0,215.0,126.0,75.0,61.0,40.0,25.0
SEFAKOY,50.0,23.0,12.0,9.0,12.0,58.0,322.0,1005.0,986.0,581.0,407.0,401.0,456.0,429.0,446.0,437.0,527.0,686.0,710.0,486.0,308.0,232.0,185.0,105.0
SIRINEVLER,95.0,44.0,26.0,15.0,16.0,80.0,386.0,1110.0,1128.0,686.0,504.0,487.0,542.0,563.0,540.0,625.0,768.0,948.0,1129.0,786.0,469.0,354.0,283.0,171.0
SOGUTLUCESME,182.0,97.0,58.0,35.0,31.0,40.0,276.0,1009.0,1166.0,726.0,486.0,468.0,486.0,471.0,471.0,600.0,758.0,939.0,1039.0,790.0,609.0,589.0,568.0,472.0
SUKRUBEY,22.0,13.0,6.0,5.0,8.0,44.0,246.0,785.0,682.0,351.0,238.0,223.0,247.0,238.0,204.0,208.0,227.0,207.0,208.0,178.0,107.0,93.0,73.0,46.0
TOPKAPI,13.0,4.0,1.0,1.0,1.0,4.0,11.0,56.0,80.0,49.0,39.0,46.0,63.0,62.0,68.0,100.0,135.0,203.0,298.0,157.0,68.0,35.0,25.0,17.0
UZUNCAYIR,96.0,29.0,13.0,7.0,7.0,44.0,561.0,1593.0,1645.0,979.0,607.0,583.0,687.0,623.0,577.0,632.0,861.0,1130.0,1128.0,667.0,437.0,349.0,365.0,197.0
YENIBOSNA,58.0,23.0,13.0,7.0,11.0,46.0,259.0,859.0,916.0,488.0,388.0,404.0,473.0,472.0,477.0,562.0,825.0,974.0,1066.0,911.0,452.0,314.0,234.0,129.0
ZEYTINBURNU,49.0,20.0,8.0,5.0,4.0,28.0,250.0,781.0,878.0,471.0,316.0,299.0,325.0,342.0,333.0,344.0,437.0,614.0,1003.0,950.0,371.0,236.0,224.0,113.0
ZINCIRLIKUYU,290.0,116.0,59.0,35.0,32.0,57.0,301.0,903.0,1113.0,668.0,513.0,536.0,690.0,765.0,885.0,1406.0,2050.0,3387.0,3867.0,2161.0,1346.0,1007.0,1044.0,600.0
