transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,6,6,INDIRIMLI1,Indirimli Abonman,ESENYURT,34,BEYKENT
2024-10-04,09,1,OTOYOL,ESENKENT ESENYURT - AVCILAR METROBUS,Normal,2,2,INDIRIMLI2,Indirimli Tip 2 Kontur,KUCUKCEKMECE,142A,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,UCRETSIZ,Tam Kontur,ESENYURT,34,BEYLIKDUZU BELEDIYESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,3,3,TAM,Tam Kontur,ESENYURT,34,SAADETDERE MAHALLESI
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,517,517,INDIRIMLI1,Indirimli Abonman,KADIKOY,34A,SOGUTLUCESME 1
2024-10-04,09,1,OTOYOL,ESENYURT -  KIPTAS 4.ETAP - 5.ETAP - AVCILAR METROBUS,Normal,11,11,UCRETSIZ,Ucretsiz,FATIH,142K,
2024-10-04,09,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,429,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,23,23,INDIRIMLI1,Tam Kontur,BEYLIKDUZU,34,GUZELYURT
2024-10-04,09,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,UCRETSIZ,Ucretsiz,USKUDAR,34A,UZUNCAYIR 1
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,TekliBilet Tarifeli,KAGITHANE,34,DARULACEZE PERPA
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,19,18,TAM,Tam Kontur,SISLI,34,CAGLAYAN
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,19,19,INDIRIMLI2,Indirimli Tip 2 Kontur,AVCILAR,34,MUSTAFA KEMAL PASA
2024-10-04,09,1,OTOYOL,YESILKENT- AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Tam Kontur,BAKIRKOY,142F,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI2,Tam Kontur,ESENYURT,34,BEYLIKDUZU
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,35,35,INDIRIMLI1,Tam Kontur,BESIKTAS,34,ZINCIRLIKUYU 2
2024-10-04,09,1,OTOYOL,ALIBEYKOY METRO - ZINCIRLIKUYU METROBUS,Normal,5,5,TAM,Tam Abonman,BAKIRKOY,50Z,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,TAM,TekliBilet Tarifeli,BAKIRKOY,34,SIRINEVLER 1
2024-10-04,09,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,164,159,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,429A,
2024-10-04,09,1,OTOYOL,AVCILAR-SOGUTLUCESME,Normal,1,1,TAM,Tam Kontur,EYUPSULTAN,34G,
2024-10-04,09,1,OTOYOL,I.U CERRAHPASA-CUMHURIYET MAH. METROBUS,Normal,1,1,TAM,Tam Abonman,KUCUKCEKMECE,HT19,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,802,801,INDIRIMLI1,Indirimli Abonman,AVCILAR,34,AVCILAR MRK.UNV.KAMP.
2024-10-04,09,1,OTOYOL,S.BEYLI-M.SINAN M-UZUNCAYIR METROBUS,Normal,1,1,INDIRIMLI1,Tam Kontur,BEYKOZ,18M,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI2,Tam Kontur,ESENYURT,34,BEYLIKDUZU
2024-10-04,09,1,OTOYOL,GURPINAR– AVCILAR METROBUS,Normal,4,4,TAM,Tam Kontur,FATIH,458,
2024-10-04,09,1,OTOYOL,GURPINAR– AVCILAR METROBUS,Normal,19,19,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,458,
2024-10-04,09,1,OTOYOL,GURPINAR– AVCILAR METROBUS,Normal,32,32,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,458,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,PERSONEL,Tam Kontur,KAGITHANE,34,DARULACEZE PERPA
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,30,30,INDIRIMLI1,Indirimli Kontur,EYUPSULTAN,34,AYVANSARAY EYUP SULTAN
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,242,240,TAM,Tam Kontur,BAKIRKOY,34,INCIRLI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,7,7,UCRETSIZ,Ucretsiz,ZEYTINBURNU,34,CEVIZLIBAG
2024-10-04,09,1,OTOYOL,TUYAP METROBUS - K.S.S. HASTANESI,Normal,2,2,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,142T,
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,EYUPSULTAN,34,AYVANSARAY EYUP SULTAN
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Tam Kontur,ESENYURT,34,SAADETDERE MAHALLESI
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,7,7,INDIRIMLI2,Indirimli Tip 2 Abonman,BAKIRKOY,34,SIRINEVLER 1
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI2,Indirimli Tip 2 Abonman,AVCILAR,34,SUKRUBEY
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,5,5,UCRETSIZ,Tam Kontur,BEYLIKDUZU,34,HARAMIDERE
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,8,8,TAM,Tam Kontur,BASAKSEHIR,34,FLORYA 2
2024-10-04,09,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,TekliBilet Tarifeli,SISLI,34,ZINCIRLIKUYU 1
